Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30
1.094898281709603,1.1083290189823933,1.0671560346885232,1.0958251130130214,1.1071211679253787,1.0980091695365648,1.100486887065945,1.1056629167059664,1.128111724882736,1.1214299473094753,1.1503308495912774,1.1422180782115863,1.1577874385855684,1.1528064688223727,1.1704990812595226,1.197588268134236,1.203543506286265,1.2003481452771585,1.207634461363241,1.2221608888180981,1.2623378792164228,1.2535189669671787,1.2722712330024346,1.2790735967389926,1.314425491235228,1.3113249894653771,1.3245083514417797,1.3388028896507016,1.3648429958643484,1.3751720102100513
1.0780819666038224,1.0982603682788723,1.1031519675844081,1.1026130547451474,1.0989558521090779,1.1234591149800917,1.0941868215217068,1.108820347499024,1.134881360489942,1.1311519668013215,1.1338146562743248,1.148173391646502,1.16633574009544,1.1775413382414042,1.1654086697469237,1.1610148609095186,1.2122026296534048,1.2093861071919072,1.2250464181415157,1.2357563574645896,1.2577417677023126,1.250001154957728,1.2737161683567917,1.2891868065377268,1.3110248753743627,1.3174447396580107,1.3186532664188404,1.3363088989020282,1.3542925864894375,1.3949885938328273
1.081365779071068,1.0982978994786368,1.1037905989166727,1.1094201997035935,1.10541940012614,1.1130531580946759,1.1050723090510002,1.1319599043006419,1.1135161966876395,1.126441543653784,1.1478073731050704,1.150795219317483,1.1531156356629677,1.1809513201151023,1.1828729492517964,1.1850158574557232,1.191245850226617,1.20391253714979,1.2339701997282673,1.239698247693411,1.2472233813075995,1.2535216787896641,1.2727346273462035,1.2966837318183644,1.3098654778314291,1.3320674202387346,1.3317033535330332,1.3645695913542046,1.380216039759439,1.3530655398737543
1.0919722589648746,1.1061221813059587,1.1004046786952242,1.108193254626996,1.1069275451303997,1.1230680534454536,1.1152496898021,1.1247395845123327,1.1127053467436898,1.133489870795458,1.1305387222326508,1.1348834720949612,1.1576769974746963,1.192304125429013,1.1820625835810188,1.1847213652010653,1.2035790383555636,1.2282188869528836,1.232177009684186,1.226950398208785,1.2562224929489842,1.2542854757993656,1.2519864657487,1.283731799145627,1.31062201019501,1.3342552788253335,1.3405579502759144,1.3528849270348682,1.364135165211304,1.3920462416593087
1.1033657535859136,1.1042023098340599,1.10781027906293,1.107329845990899,1.1179562585825182,1.1102370682268712,1.1290796031318158,1.1389857671096362,1.1334872847642194,1.1279774821978503,1.142384285772858,1.1591894218744392,1.1805103817176001,1.1654905007855245,1.185896658944165,1.1935432717563461,1.2155155831854225,1.2285639793849465,1.2214254207218072,1.2305905476922798,1.2542438409467236,1.2668421099212135,1.279833139296968,1.300704899601252,1.2995515462398493,1.3377538271454386,1.3333477997921226,1.342662684803664,1.3800268449529318,1.378993295315524
1.1077490863069877,1.0944553500972891,1.0952241218729282,1.106264803506952,1.1165845989460623,1.1312648535185943,1.123302483191763,1.131604274464569,1.146086353853909,1.1427987380052735,1.1634435714763123,1.160181146341778,1.150559104764877,1.2009058371489238,1.168669536430277,1.1886678524935619,1.1996919976719933,1.2184702549957382,1.2289213625302935,1.2394608149900086,1.2535260370666128,1.277263462290207,1.2857567903311553,1.2964996630671228,1.3126759669605688,1.3102685848309448,1.336007930487419,1.3561112542958438,1.344530529576052,1.3702059110234006
1.1068019612083815,1.1221767399233535,1.1221981631288078,1.1244191563138108,1.1130033287857395,1.1241901552452966,1.123006750720705,1.140926147800748,1.1427826188872805,1.1572942002352598,1.157678350471211,1.154054987545138,1.1630984654072647,1.1868351254388436,1.1901117853034757,1.1945604891205481,1.214194030592797,1.2339450845066557,1.2381444711819152,1.2570545251648864,1.2518336188186452,1.2716470611419202,1.2900723979673727,1.2876681855125132,1.310970589090416,1.3241613942114832,1.355185653803456,1.3558457407480111,1.3749528229971444,1.4100805959276523
1.1036333422799378,1.1239515935674522,1.1189487114719043,1.1303048183496898,1.1330799958599969,1.1247464524220971,1.1401735050116601,1.1378900477656126,1.1447310393667767,1.1547382719755819,1.1809123508240644,1.1678033036114126,1.1926762567602363,1.1888602307628813,1.184878354063372,1.2313777165959297,1.2057211911278525,1.2276810807597838,1.2494426507252705,1.238077204700561,1.267513327915578,1.2778698656534169,1.2766299844494735,1.3156225417269733,1.314490952032889,1.3378675313433777,1.3494300905590924,1.3645430655820536,1.3872050481547624,1.3906508570167546
1.1246462224360294,1.1030336688267477,1.1286529160121603,1.1062590804032937,1.1296894795363255,1.1616226159460523,1.1454655716844075,1.1573446420004228,1.1536512165015473,1.1512998576289057,1.1551491425306237,1.1807875062051723,1.1768811944690398,1.180594222327314,1.212456479101699,1.2094009369914351,1.2138402869898028,1.2408067397526397,1.2431627232288154,1.2621146671574373,1.2690345772462297,1.29423009271071,1.2871217548458795,1.302364184476787,1.3265990168374526,1.3330844688346049,1.3581066899515395,1.3550106325630753,1.3864753762301887,1.4033331532523603
1.1301243609142977,1.134030844268503,1.1441222346310296,1.14213049919158,1.132187933983799,1.1508989453395282,1.1515281940321995,1.1612656696978065,1.155621297890618,1.1781939931499867,1.1867726733915702,1.1593627118580727,1.188031474646884,1.1905050398431336,1.2008865395781183,1.2315283204528942,1.2348978049981305,1.2216600321939775,1.2556762814637812,1.2729554769508993,1.2765201697054522,1.2955550445339692,1.2829930562603404,1.3184017199721203,1.3162933022126855,1.3503888342039392,1.3597136903224327,1.3757731278023522,1.3905520994738425,1.3893592820295506
